Upper and lower bounds for the problem
Iteration: 260;  Base position: 419.98983732726697 mm; Feasibility: YES!; Manipulability: 0.11574 
Iteration 261; Item picked: Cube_10; Base position: -1466.5118251578815 mm; Feasibility: NO! 
Iteration: 262;  Base position: 687.7059947747766 mm; Feasibility: YES!; Manipulability: 0.10251 
Iteration 263; Item picked: Cube_11; Base position: 1314.2631663642828 mm; Feasibility: NO! 
Iteration: 264;  Base position: 556.3095178906151 mm; Feasibility: YES!; Manipulability: 0.1283 
Iteration 265; Item picked: Cube_12; Base position: -1130.7619798006745 mm; Feasibility: NO! 
Iteration 266; Item picked: Cube_11; Base position: 1127.6511912634005 mm; Feasibility: NO! 
Iteration: 267;  Base position: 707.1768524809704 mm; Feasibility: YES!; Manipulability: 0.1089 
Iteration 268; Item picked: Cube_10; Base position: 1397.1737457902846 mm; Feasibility: NO! 
Iteration 269; Item picked: Cube_11; Base position: -518.2585958586867 mm; Feasibility: NO! 
Iteration 270; Item picked: Cube_12; Base position: -808.068769440086 mm; Feasibility: NO! 
Iteration 271; Item picked: Cube_10; Base position: -1159.2691091229042 mm; Feasibility: NO! 
Iteration 272; Item picked: Cube_12; Base position: -1324.1089396362554 mm; Feasibility: NO! 
Iteration: 273;  Base position: 350.9938230241571 mm; Feasibility: YES!; Manipulability: 0.14417 
Iteration: 274;  Base position: 834.0087625661326 mm; Feasibility: YES!; Manipulability: 0.11134 
Iteration 275; Item picked: Cube_10; Base position: -1205.1771976249563 mm; Feasibility: NO! 
Iteration 276; Item picked: Cube_11; Base position: -980.9273004726997 mm; Feasibility: NO! 
Iteration: 277;  Base position: 191.545856229606 mm; Feasibility: YES!; Manipulability: 0.16028 
Iteration 278; Item picked: Cube_10; Base position: -863.3013743402355 mm; Feasibility: NO! 
Iteration 279; Item picked: Cube_11; Base position: -1023.1284162401831 mm; Feasibility: NO! 
Iteration: 280;  Base position: 466.2549257234605 mm; Feasibility: YES!; Manipulability: 0.15792 
Iteration 281; Item picked: Cube_11; Base position: -1079.7167206260315 mm; Feasibility: NO! 
Iteration: 282;  Base position: 581.0394851073415 mm; Feasibility: YES!; Manipulability: 0.13704 
Iteration 283; Item picked: Cube_10; Base position: -1146.1774239908102 mm; Feasibility: NO! 
Iteration: 284;  Base position: 174.33104654858766 mm; Feasibility: YES!; Manipulability: 0.1321 
Iteration 285; Item picked: Cube_12; Base position: 982.7288048149103 mm; Feasibility: NO! 
Iteration 286; Item picked: Cube_10; Base position: -875.6061836821841 mm; Feasibility: NO! 
Iteration 287; Item picked: Cube_12; Base position: -444.05492214870605 mm; Feasibility: NO! 
Iteration 288; Item picked: Cube_12; Base position: -654.784342848756 mm; Feasibility: NO! 
Iteration: 289;  Base position: 519.7347874950867 mm; Feasibility: YES!; Manipulability: 0.12828 
Iteration 290; Item picked: Cube_11; Base position: -1162.292382642866 mm; Feasibility: NO! 
Iteration 291; Item picked: Cube_12; Base position: -1496.4812537176865 mm; Feasibility: NO! 
Iteration 292; Item picked: Cube_11; Base position: -614.9161881669925 mm; Feasibility: NO! 
Iteration 293; Item picked: Cube_11; Base position: 1170.3550516550822 mm; Feasibility: NO! 
Iteration: 294;  Base position: -251.57621615002176 mm; Feasibility: YES!; Manipulability: 0.15455 
Iteration: 295;  Base position: -170.16790150751763 mm; Feasibility: YES!; Manipulability: 0.17133 
Iteration: 296;  Base position: 744.311583702467 mm; Feasibility: YES!; Manipulability: 0.10977 
