Upper and lower bounds for the problem
Iteration 68; Item picked: Cube_02; Base position: 1097.460939849435 mm; Feasibility: NO! 
Iteration 69; Item picked: Cube_01; Base position: 1066.2336637136882 mm; Feasibility: NO! 
Iteration 70; Item picked: Cube_01; Base position: -971.7342499297639 mm; Feasibility: NO! 
Iteration 71; Item picked: Cube_00; Base position: 758.1652958603004 mm; Feasibility: NO! 
Iteration 72; Item picked: Cube_00; Base position: -1237.7158199387213 mm; Feasibility: NO! 
Iteration: 73;  Base position: -510.69276308398923 mm; Feasibility: YES!; Manipulability: 0.15025 
Iteration 74; Item picked: Cube_01; Base position: -1016.2411273877517 mm; Feasibility: NO! 
Iteration 75; Item picked: Cube_02; Base position: -512.1375108238819 mm; Feasibility: NO! 
Iteration 76; Item picked: Cube_00; Base position: 1004.4509963738483 mm; Feasibility: NO! 
Iteration: 77;  Base position: -478.9425773473554 mm; Feasibility: YES!; Manipulability: 0.15279 
Iteration 78; Item picked: Cube_00; Base position: 1052.2139742704962 mm; Feasibility: NO! 
Iteration 79; Item picked: Cube_01; Base position: -1278.881959682284 mm; Feasibility: NO! 
Iteration 80; Item picked: Cube_00; Base position: -657.3533772084148 mm; Feasibility: NO! 
Iteration: 81;  Base position: -268.63042842198774 mm; Feasibility: YES!; Manipulability: 0.19935 
Iteration: 82;  Base position: -387.9619749980511 mm; Feasibility: YES!; Manipulability: 0.15772 
Iteration: 83;  Base position: 252.726695630613 mm; Feasibility: YES!; Manipulability: 0.18038 
Iteration 84; Item picked: Cube_02; Base position: 1414.9364444257571 mm; Feasibility: NO! 
Iteration: 85;  Base position: -413.70152029891574 mm; Feasibility: YES!; Manipulability: 0.14843 
Iteration 86; Item picked: Cube_02; Base position: -436.14551111203923 mm; Feasibility: NO! 
Iteration 87; Item picked: Cube_01; Base position: -1407.4949302336101 mm; Feasibility: NO! 
Iteration: 88;  Base position: 313.86275640818644 mm; Feasibility: YES!; Manipulability: 0.15794 
Iteration 89; Item picked: Cube_00; Base position: -955.3696963999064 mm; Feasibility: NO! 
Iteration 90; Item picked: Cube_01; Base position: 906.1137909156382 mm; Feasibility: NO! 
Iteration 91; Item picked: Cube_01; Base position: 488.1060047123476 mm; Feasibility: NO! 
Iteration 92; Item picked: Cube_01; Base position: -1254.9158946520909 mm; Feasibility: NO! 
Iteration 93; Item picked: Cube_01; Base position: -1369.1554279386207 mm; Feasibility: NO! 
Iteration: 94;  Base position: 307.24301469089664 mm; Feasibility: YES!; Manipulability: 0.16189 
Iteration: 95;  Base position: -234.57950384784954 mm; Feasibility: YES!; Manipulability: 0.20178 
